0,aims
1,admin
2,trong-trot
3,bao-cao-ngay
4,thuy-loi
5,ban-do
6,chan-nuoi
7,tinh-hinh-chan-nuoi-gsgc
8,he-thong
9,tong-gia-tri-san-xuat
A,update
B,delete
C,nong-thon-moi
D,lay-y-kien
E,dot-khao-sat
F,get
G,cdp
H,svc
I,log
J,read
K,iscs
L,web
M,cdp.svc.log.log:export
N,notify
O,fcm
P,create
Q,location
R,place
S,vncitizens
T,garbageSchedule
U,camera
V,livestream
W,storage
X,file
Y,auth
Z,user
00,account
01,accountApp
02,bao-cao
03,phat-trien-nong-thon
04,xep-loai
05,diemdanhgia
06,tu-choi
07,phe-duyet
08,chuyen-duyet
09,insert
0A,phan-trang
0B,ket-qua-hoat-dong
0C,tinh-hinh-san-xuat
0D,tinh-hinh-sau-benh
0E,mia
0F,quan-ly-cang-ca
0G,trang-chu
0H,quan-ly-dich-benh
0I,loai-benh
0J,info
0K,phan-vung-o-dich
0L,mau-19a
0M,thu-phi-dien-nuoc
0N,thu-phi-xe-ra-vao
0O,thu-phi-xe
0P,THANG
0Q,DEM
0R,thu-phi
0S,NHA
0T,OCT
0U,bien-nhan-qua-cang
0V,thu-phi-cap-cang
0W,kiem-tra-roi-cang
0X,giam-sat-cap-cang
0Y,dang-ky-cap-cang
0Z,dasborad-cang
10,trang-trai-chan-nuoi
11,quyet-dinh-ho-tro
12,forward-approve
13,reject
14,approve
15,add
16,thanh-tra
17,cs-mua-ban-sp-thuc-an
18,quan-ly-giong-vat-nuoi
19,loai-co-so
1A,chuc-nang-khac
1B,loai-chuc-nang
1C,download-file
1D,cap-giay-chung-nhan
1E,vuon-cay-dau-dong
1F,tiep-nhan-ho-so
1G,thong-tu-38-2018-BNNPTNT
1H,thong-tu-19-2019-BNNPTNT
1I,thiet-hai-do-thien-tai-dich-benh
1J,ma-vung-trong-trot
1K,doi-tuong-kiem-dich-thuc-vat
1L,co-so-san-xuat-ung-dung-cong-nghe-cao
1M,co-cau-giong-lua
1N,chuyen-doi-co-cau
1O,chinh-sach-ho-tro
1P,ban-loai-giong-cay-trong
1Q,xep-loai-co-so
1R,xoa
1S,cap-nhat
1T,them
1U,co-so-kinh-doanh
1V,co-so-san-xuat
1W,co-so-sxkd
1X,co-so-san-xuat-kinh-doanh
1Y,hop-tac-xa
1Z,co-so
20,dashboard
21,cay-cong-nghiep
22,cay-lay-dau
23,hoa
24,nam
25,sam-ngoc-linh
26,cay-duoc-lieu
27,loai-cay-trong
28,lam-nghiep
29,khai-thac-go-lam-san
2A,cay-phan-tan
2B,trung-tam-giong
2C,nguoi-dan
2D,trung-tam-khuyen-nong
2E,ke-hoach-ho-tro
2F,theo-doi-dien-bien-rung
2G,co-so-che-bien-kinh-doanh-go
2H,co-so-chan-nuoi-dong-vat-hoang-da
2I,xu-ly-vi-pham
2J,danh-muc
2K,ke-hoach-ho-tro-lien-ket
2L,ho-tro-lien-ket
2M,dm-dung-chung
2N,de-tai
2O,tap-huan
2P,quan-ly-chat-luong
2Q,thuy-san
2R,LOAI_HINH_HOAT_DONG
2S,get-all
2T,danh-muc-chung
2U,TL_LOAI_CONG_TRINH
2V,app
2W,cang-ca
2X,phuong-tien
2Y,muc-thu-phi
2Z,ca-nhan-doi-tuong
30,thong-ke
31,trang-trai
32,tinh-hinh-hoat-dong
33,thong-tin-ocop
34,so-lieu
35,ket-qua-dao-tao
36,bo-tri-dan-cu
37,du-an-ke-hoach-lien-ket
38,dm-chuc-vu
39,CHUC_VU
3A,mo-hinh-trinh-dien
3B,gia-ca-thi-truong
3C,ql-doanh-nghiep
3D,kq-mau-giam-sat
3E,che-bien-nlts
3F,doanh-nghiep
3G,danh-gia-phan-loai
3H,chuoi-cung-cap
3I,chung-nhan-attp
3J,van-bang-nganh-attp
3K,co-so-vietgap
3L,accountRolePermissionAttr
3M,svcAuth
3N,manageAccountRolePermissionAttr
3O,LOAI_TRANG_TRAI
3P,LOAI_BO_TRI
3Q,LOAI
3R,NHOM_LOAI
3S,lang-nghe
3T,dm-lang-nghe
3U,NHOM_SAN_PHAM
3V,du-an-giam-ngheo
3W,cay-luong-thuc
3X,rau
3Y,cay-an-qua
3Z,lua
40,phan-bon-bvtv
41,THUOC_BVTV
42,PHAN_BON
43,dung-chung
44,LOAI_GIAY_CHUNG_NHAN
45,LOAI_CHUYEN_DOI
46,LOAI_CHINH_SACH_HO_TRO
47,MUA_VU
48,NGANH_NGHE_SX_KD
49,sau-benh
4A,giong-cay-trong
4B,cay-trong
4C,NHOM_CAY_TRONG
4D,nuoi-thuy-san
4E,NUOI_KHAC
4F,NUOI_CA_TRA
